Comune;Provincia;Regione;Nome;Identificatore in OpenStreetMap;Anno inserimento;Data e ora inserimento;Longitudine;Latitudine
MANCIANO;GROSSETO;Toscana;;1936363872;2012;2012-09-28T07:49:23Z;11.3395147;42.5354968999999
MANCIANO;GROSSETO;Toscana;;293005162;2008;2008-09-01T21:59:46Z;11.5148623;42.5883651999999
MASSA MARITTIMA;GROSSETO;Toscana;;1192972645;2011;2011-03-08T18:13:38Z;10.8889736;43.0548378
MASSA MARITTIMA;GROSSETO;Toscana;;1201354876;2011;2011-03-14T09:15:51Z;10.8543593;43.0047748
MASSA MARITTIMA;GROSSETO;Toscana;;1209248959;2011;2011-03-19T17:52:13Z;10.9229792;43.1266116999999
MASSA MARITTIMA;GROSSETO;Toscana;;1916888715;2012;2012-09-16T10:46:44Z;10.8971626;43.0481990999999
MASSA MARITTIMA;GROSSETO;Toscana;;2961986783;2014;2014-07-14T00:42:44Z;10.8906255;43.0487759
MASSA MARITTIMA;GROSSETO;Toscana;;314050322;2012;2012-05-06T22:55:28Z;10.8875639999999;43.0487359999999
MASSA MARITTIMA;GROSSETO;Toscana;;3308040739;2015;2015-01-24T18:42:19Z;10.8881098;43.0327642
MONTE ARGENTARIO;GROSSETO;Toscana;;1445143496;2011;2011-09-25T00:36:00Z;11.1372810999999;42.4352390999999
MONTE ARGENTARIO;GROSSETO;Toscana;;2182461100;2013;2013-03-02T22:32:13Z;11.0922398;42.4132285999999
MONTE ARGENTARIO;GROSSETO;Toscana;;2425314427;2013;2013-08-20T11:04:58Z;11.1968821999999;42.4264931
MONTE ARGENTARIO;GROSSETO;Toscana;;2425314437;2013;2013-08-20T11:04:58Z;11.1960446;42.4272631999999
MONTE ARGENTARIO;GROSSETO;Toscana;;3872598088;2015;2015-12-02T10:43:17Z;11.1860678999999;42.3795416999999
MONTIERI;GROSSETO;Toscana;;1381604056;2011;2011-08-01T09:39:26Z;11.0345257;43.089399
MONTIERI;GROSSETO;Toscana;;374141882;2011;2011-08-02T10:07:44Z;11.0166796999999;43.1327276
MONTIERI;GROSSETO;Toscana;;827247686;2011;2011-06-15T13:32:02Z;11.0169859;43.1302996
ORBETELLO;GROSSETO;Toscana;;1599035960;2012;2012-01-20T17:21:18Z;11.2820212;42.4180461999999
ORBETELLO;GROSSETO;Toscana;;566140566;2009;2009-11-17T10:37:59Z;11.2076303;42.4376627999999
ORBETELLO;GROSSETO;Toscana;;874514893;2010;2010-08-23T10:55:03Z;11.298831;42.4093936
ORBETELLO;GROSSETO;Toscana;;874515211;2010;2010-08-22T22:16:25Z;11.2960224999999;42.4089506999999
ORBETELLO;GROSSETO;Toscana;;875629304;2010;2010-08-23T11:03:43Z;11.2937428;42.4086179999999
PITIGLIANO;GROSSETO;Toscana;;1699651088;2012;2012-03-31T14:26:27Z;11.6684511;42.6344842
PITIGLIANO;GROSSETO;Toscana;;1917692236;2012;2012-09-16T20:17:16Z;11.7062465;42.6109477999999
PITIGLIANO;GROSSETO;Toscana;Piazza garibaldi;884218180;2012;2012-03-31T14:28:22Z;11.6692885;42.6348659
ROCCALBEGNA;GROSSETO;Toscana;;1302518751;2011;2011-05-27T20:14:23Z;11.500854;42.7869991999999
ROCCALBEGNA;GROSSETO;Toscana;;1302520153;2011;2011-05-27T20:14:39Z;11.5097334999999;42.7873475999999
ROCCASTRADA;GROSSETO;Toscana;;621236628;2010;2010-01-27T15:24:56Z;11.1089936999999;43.0256735
ROCCASTRADA;GROSSETO;Toscana;;980040475;2010;2010-11-07T04:21:54Z;11.1673197;43.0107130999999
ROCCASTRADA;GROSSETO;Toscana;;980040487;2010;2010-11-07T04:21:55Z;11.1688002999999;43.0099153999999
SANTA FIORA;GROSSETO;Toscana;;295987191;2008;2008-09-11T21:43:45Z;11.5866018;42.8323571
SCARLINO;GROSSETO;Toscana;;1446369661;2011;2011-09-26T17:37:37Z;10.7795445999999;42.8802355999999
SCARLINO;GROSSETO;Toscana;;1660363260;2012;2012-03-05T10:47:59Z;10.8371739;42.9436487999999
SCARLINO;GROSSETO;Toscana;;1660363267;2012;2012-03-05T10:47:59Z;10.8411114;42.9435919
SCARLINO;GROSSETO;Toscana;;1660363305;2012;2012-03-05T10:48:01Z;10.8410952999999;42.9443163999999
SCARLINO;GROSSETO;Toscana;;1660363309;2012;2012-03-05T10:48:01Z;10.8360044;42.9434013999999
SCARLINO;GROSSETO;Toscana;;1660365434;2012;2012-03-05T10:51:49Z;10.8345614;42.943851
SCARLINO;GROSSETO;Toscana;;1660368237;2012;2012-03-05T10:55:09Z;10.8403845;42.9439865
SCARLINO;GROSSETO;Toscana;;1660813773;2012;2012-03-05T16:19:16Z;10.7935023999999;42.8897302
SCARLINO;GROSSETO;Toscana;;1662032268;2012;2012-03-06T08:06:14Z;10.8261283;42.9431889999999
SCARLINO;GROSSETO;Toscana;;1662032275;2012;2012-03-06T08:06:14Z;10.8273084999999;42.9433185999999
SCARLINO;GROSSETO;Toscana;;2827368865;2014;2014-04-30T19:13:47Z;10.7879226999999;42.8834457
SCARLINO;GROSSETO;Toscana;;2955037616;2014;2014-07-08T21:19:37Z;10.8525468;42.9079786
SCARLINO;GROSSETO;Toscana;;3099782034;2014;2014-09-28T01:10:04Z;10.7810491;42.8822948999999
SCARLINO;GROSSETO;Toscana;Piazza Foscolo Agresti;1660363277;2012;2012-03-05T11:11:58Z;10.8354546;42.9436095
SCARLINO;GROSSETO;Toscana;Via Bruno Buozzi;1660363320;2012;2012-03-05T10:48:01Z;10.8376915999999;42.9442201999999
SEGGIANO;GROSSETO;Toscana;;1392072099;2011;2011-08-09T08:29:10Z;11.6236092;42.8981761
SORANO;GROSSETO;Toscana;;1699888160;2012;2012-03-31T17:12:52Z;11.7009805999999;42.6623696999999
SORANO;GROSSETO;Toscana;;1701347637;2012;2012-04-04T17:45:30Z;11.7161226;42.6814747999999
SORANO;GROSSETO;Toscana;;2219371651;2013;2013-03-24T20:10:20Z;11.7090533;42.6848864
SORANO;GROSSETO;Toscana;;2939702813;2014;2014-06-29T20:28:27Z;11.713217;42.6824279
SORANO;GROSSETO;Toscana;parcheggio;964799724;2010;2010-10-25T12:47:19Z;11.7143748999999;42.6813593999999
SORANO;GROSSETO;Toscana;parcheggio;964799725;2010;2010-10-25T12:05:01Z;11.7140301;42.6815494
MONTEROTONDO MARITTIMO;GROSSETO;Toscana;;1213601986;2014;2014-04-19T13:53:05Z;10.8531084999999;43.1539890999999
MONTEROTONDO MARITTIMO;GROSSETO;Toscana;;1213605965;2011;2011-03-22T18:00:00Z;10.8322185;43.1460871
MONTEROTONDO MARITTIMO;GROSSETO;Toscana;;1374625212;2011;2011-07-26T11:36:36Z;10.8545935;43.1449222
MONTEROTONDO MARITTIMO;GROSSETO;Toscana;;1374625219;2011;2011-07-26T11:36:36Z;10.8553446;43.1465035
